chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
JH126571	1121874	1122062	-	lme_circ_0000285	188	188	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000026434	APOA1	Nitsche2013
JH131079	2181	7421	*	lme_circ_0000196	5240	5240	liver	None	INTERGENIC	None	None	Nitsche2013
JH127211	232792	232999	-	lme_circ_0000613	207	207	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000007567	PFN2	Nitsche2013
JH127972	597876	598026	+	lme_circ_0000232	150	150	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000012624	ENSLACG00000011041	Nitsche2013
JH126564	7102277	7104737	-	lme_circ_0001042	2460	173	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021845	CGRRF1	Nitsche2013
JH126696	749198	749486	+	lme_circ_0001090	288	144	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025486	TTC7B	Nitsche2013
JH126732	183009	183128	+	lme_circ_0000745	119	119	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000025717	C20orf85	Nitsche2013
JH127470	403846	404377	+	lme_circ_0000231	531	531	liver, testis	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000010099	NCOA7	Nitsche2013
JH131251	50259	50430	*	lme_circ_0001099	171	171	testis	None	INTERGENIC	None	None	Nitsche2013
JH129298	177594	178233	+	lme_circ_0000766	639	181	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	ENSLACT00000026424	ENSLACG00000022122	Nitsche2013
JH127964	420559	420747	*	lme_circ_0000547	188	188	liver	None	INTERGENIC	None	None	Nitsche2013
JH126981	139251	139394	*	lme_circ_0000013	143	143	liver	None	INTERGENIC	None	None	Nitsche2013
JH127378	154967	155078	+	lme_circ_0000690	111	111	testis	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000005769	ENSLACG00000005082	Nitsche2013
JH128053	556133	560054	-	lme_circ_0000327	3921	224	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000025282	COX7C	Nitsche2013
JH127179	444043	446531	-	lme_circ_0001105	2488	193	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010579	TOP2A	Nitsche2013
JH127255	849723	849854	+	lme_circ_0000731	131	131	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015271	TSGA10	Nitsche2013
JH126690	1338672	1339885	+	lme_circ_0000479	1213	179	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017933	RPN1	Nitsche2013
JH126583	545579	545753	+	lme_circ_0000255	174	174	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000012391	SLC20A1	Nitsche2013
JH127334	433720	433928	*	lme_circ_0000561	208	208	liver	None	INTERGENIC	None	None	Nitsche2013
JH127704	90067	90425	*	lme_circ_0000901	358	358	testis	None	INTERGENIC	None	None	Nitsche2013
JH126614	3134017	3134182	-	lme_circ_0000297	165	165	liver	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021043	SCD	Nitsche2013
JH127790	647073	658462	+	lme_circ_0000124	11389	608	liver	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000012257	STAB2	Nitsche2013
JH126570	2701570	2701710	-	lme_circ_0000787	140	140	testis	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000020711	UNC119B	Nitsche2013
JH126565	3223969	3226792	+	lme_circ_0000950	2823	190	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021085	CCDC176	Nitsche2013
JH128096	286163	286320	+	lme_circ_0000578	157	157	liver	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000026391	CYP2D6	Nitsche2013
JH127782	417975	426248	+	lme_circ_0001026	8273	811	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000010043	ABCA4	Nitsche2013
JH126613	862861	866070	+	lme_circ_0000798	3209	175	testis	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015312	RANBP3	Nitsche2013
JH127242	844035	850809	-	lme_circ_0000076	6774	211	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015218	VPS41	Nitsche2013
JH126648	1520517	1521551	-	lme_circ_0000456	1034	175	liver	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000018648	CRLS1	Nitsche2013
JH128320	20722	23157	*	lme_circ_0000639	2435	2435	testis	None	INTERGENIC	None	None	Nitsche2013
JH128232	355522	358808	+	lme_circ_0000540	3286	165	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009490	XRN2	Nitsche2013
JH128190	347436	347552	-	lme_circ_0000626	116	116	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026067	CDCA7L	Nitsche2013
JH127485	686109	686264	+	lme_circ_0000091	155	155	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000013823	MCFD2	Nitsche2013
JH126772	966369	1058902	-	lme_circ_0000330	92533	166	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	ENSLACT00000015153	EIF3H	Nitsche2013
JH126962	765730	768374	+	lme_circ_0000923	2644	279	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	ENSLACT00000014647	PPIG	Nitsche2013
JH126966	742087	750962	-	lme_circ_0000600	8875	120	testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025116	ENSLACG00000012612	Nitsche2013
JH126566	3834263	3836235	+	lme_circ_0000916	1972	214	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021342	PIGT	Nitsche2013
JH128805	86850	87002	+	lme_circ_0000162	152	152	liver	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000003263	ARRDC3	Nitsche2013
JH129091	48907	49061	-	lme_circ_0000967	154	154	testis	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000002722	CENPM	Nitsche2013
JH128526	383074	394564	*	lme_circ_0000964	11490	11490	testis	None	INTERGENIC	None	None	Nitsche2013
JH126639	2044172	2044350	*	lme_circ_0001023	178	178	testis	None	INTERGENIC	None	None	Nitsche2013
JH127128	276885	278814	-	lme_circ_0000751	1929	153	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000008062	SDHA	Nitsche2013
JH132554	8261	8420	*	lme_circ_0000159	159	159	liver	None	INTERGENIC	None	None	Nitsche2013
JH126721	655730	655880	-	lme_circ_0000512	150	150	liver	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000025462	ENSLACG00000022642	Nitsche2013
JH126562	5195079	5198082	*	lme_circ_0000718	3003	3003	testis	None	INTERGENIC	None	None	Nitsche2013
JH128804	193648	195638	+	lme_circ_0000679	1990	164	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000006707	OTUB2	Nitsche2013
JH126791	1843072	1844658	-	lme_circ_0000318	1586	192	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026460	zgc:172295	Nitsche2013
JH128883	167069	167231	*	lme_circ_0000304	162	162	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH127210	172884	173037	+	lme_circ_0000888	153	153	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026330	ENSLACG00000022455	Nitsche2013
JH126706	280454	280627	*	lme_circ_0001100	173	173	testis	None	INTERGENIC	None	None	Nitsche2013
JH127521	139267	139614	-	lme_circ_0001087	347	347	testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025877	EPB41L2	Nitsche2013
JH126620	506147	508537	-	lme_circ_0000361	2390	178	liver	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	ENSLACT00000011980	SERPIND1	Nitsche2013
JH126613	1331829	1333809	+	lme_circ_0000208	1980	138	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017955	LSM7	Nitsche2013
JH128463	284646	288718	-	lme_circ_0000843	4072	163	testis	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR5	ENSLACT00000025150	LYAR	Nitsche2013
JH127134	353590	353780	+	lme_circ_0001036	190	190	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000008215	MTMR7	Nitsche2013
JH126673	2096972	2098656	-	lme_circ_0000935	1684	139	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025189	ATP8B3	Nitsche2013
JH126609	2270669	2271483	+	lme_circ_0000943	814	129	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000020151	IPO7	Nitsche2013
JH128245	494220	515007	+	lme_circ_0000853	20787	2879	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON	ENSLACT00000011832	DEK	Nitsche2013
JH126594	3178168	3178318	-	lme_circ_0000992	150	150	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026202	SETD1B	Nitsche2013
JH127341	52573	69878	+	lme_circ_0000405	17305	1564	liver	None	ALT_ACCEPTOR, CDS, coding, intronic, OVCODE, OVEXON	ENSLACT00000000820	ZNF516	Nitsche2013
JH126735	1701976	1708366	-	lme_circ_0001079	6390	183	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000018991	MKLN1	Nitsche2013
JH128401	334332	334475	-	lme_circ_0000022	143	143	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000008953	MPP6	Nitsche2013
JH129169	79434	86854	-	lme_circ_0000999	7420	173	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000003169	RSPH3	Nitsche2013
AFYH01280122	3827	3976	*	lme_circ_0001045	149	149	testis	None	INTERGENIC	None	None	Nitsche2013
JH129132	112841	112988	*	lme_circ_0000815	147	147	testis	None	INTERGENIC	None	None	Nitsche2013
JH127488	44039	46224	+	lme_circ_0000830	2185	114	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000002524	DPCD	Nitsche2013
JH126819	764238	783447	-	lme_circ_0000738	19209	183	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000014448	SRPK1	Nitsche2013
JH128471	340114	343416	-	lme_circ_0000024	3302	176	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009539	EWSR1	Nitsche2013
JH127284	1010874	1011244	*	lme_circ_0001012	370	370	testis	None	INTERGENIC	None	None	Nitsche2013
JH126602	518054	521830	+	lme_circ_0000933	3776	125	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025574	MZB1	Nitsche2013
JH126562	7463733	7465045	-	lme_circ_0000141	1312	232	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021868	RPL13A	Nitsche2013
JH127759	184082	189543	+	lme_circ_0000587	5461	172	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006565	C1orf177	Nitsche2013
JH126868	1652283	1652427	+	lme_circ_0000646	144	144	testis	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025011	ENSLACG00000022469	Nitsche2013
JH127106	1108298	1111222	*	lme_circ_0000020	2924	2924	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH129570	106547	122902	+	lme_circ_0000225	16355	173	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000003931	DPYS	Nitsche2013
JH126619	2901771	2903349	-	lme_circ_0000368	1578	229	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000020861	VIMP	Nitsche2013
JH126588	2016680	2016842	+	lme_circ_0001110	162	162	testis	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000019816	TEKT2	Nitsche2013
JH126747	461705	463325	-	lme_circ_0000498	1620	140	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025427	ITIH2	Nitsche2013
JH129667	201121	204494	*	lme_circ_0000045	3373	3373	liver	None	INTERGENIC	None	None	Nitsche2013
JH128542	181026	181175	-	lme_circ_0000987	149	149	testis	None	ALT_DONOR, coding, INTERNAL, OVEXON, UTR5	ENSLACT00000006175	SPATC1	Nitsche2013
JH126747	445521	451141	-	lme_circ_0000500	5620	159	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025427	ITIH2	Nitsche2013
JH126934	535988	536121	-	lme_circ_0000118	133	133	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000012353	IVNS1ABP	Nitsche2013
JH127334	433791	433928	*	lme_circ_0000559	137	137	liver	None	INTERGENIC	None	None	Nitsche2013
JH126617	1482700	1484149	+	lme_circ_0000721	1449	167	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000018469	CALCOCO2	Nitsche2013
JH127169	5540	5660	*	lme_circ_0000326	120	120	liver	None	INTERGENIC	None	None	Nitsche2013
JH130472	75138	82138	-	lme_circ_0000694	7000	209	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000003342	RSPH1	Nitsche2013
JH127833	497588	497718	-	lme_circ_0000214	130	130	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000011848	HSP90AB1	Nitsche2013
JH127843	378002	378233	+	lme_circ_0001003	231	123	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009603	PRKAR2B	Nitsche2013
JH127271	493982	494162	+	lme_circ_0000242	180	180	liver	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000026290	RTN4	Nitsche2013
JH128009	226484	226653	+	lme_circ_0000776	169	169	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000005362	atp8b5a	Nitsche2013
JH126895	205051	208693	-	lme_circ_0000139	3642	136	liver	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006673	STRA6	Nitsche2013
JH128550	185280	188421	*	lme_circ_0000226	3141	3141	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH132899	10091	10329	-	lme_circ_0000974	238	108	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000001102	tuba7l	Nitsche2013
JH127334	506675	507570	*	lme_circ_0000558	895	895	liver	None	INTERGENIC	None	None	Nitsche2013
JH126574	2081237	2083121	+	lme_circ_0000177	1884	108	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000019915	WSB1	Nitsche2013
JH128421	61004	73111	+	lme_circ_0000167	12107	220	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000002616	TBC1D23	Nitsche2013
JH128232	334989	335242	+	lme_circ_0000541	253	160	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009490	XRN2	Nitsche2013
JH126908	1479491	1480154	-	lme_circ_0000447	663	663	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000018504	cdyl (2 of 2)	Nitsche2013
JH127844	460996	461582	-	lme_circ_0000096	586	151	liver, testis	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON	ENSLACT00000011375	AKAP8L	Nitsche2013
JH129576	139525	142018	+	lme_circ_0000959	2493	228	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000004987	pabpc1a	Nitsche2013
JH131257	24682	24879	*	lme_circ_0000086	197	197	liver	None	INTERGENIC	None	None	Nitsche2013
JH126652	1730395	1743295	*	lme_circ_0000883	12900	12900	testis	None	INTERGENIC	None	None	Nitsche2013
JH126892	172286	174638	-	lme_circ_0000615	2352	162	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000005501	EIF4G1	Nitsche2013
JH127111	309164	310068	-	lme_circ_0000982	904	110	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000008734	hdlbpb	Nitsche2013
JH127164	748127	750178	-	lme_circ_0000492	2051	224	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026532	C9	Nitsche2013
JH129111	219942	221085	-	lme_circ_0000263	1143	127	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025969	VTN	Nitsche2013
JH127820	373478	373636	-	lme_circ_0001065	158	158	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010073	PNPLA8	Nitsche2013
JH126563	7177852	7180295	-	lme_circ_0000063	2443	158	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021850	SHMT2	Nitsche2013
JH128461	327058	330020	-	lme_circ_0000276	2962	155	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009206	CTSB	Nitsche2013
JH126812	30146	31230	-	lme_circ_0000342	1084	227	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025779	TOLLIP	Nitsche2013
JH126563	5088479	5091518	*	lme_circ_0000667	3039	3039	testis	None	INTERGENIC	None	None	Nitsche2013
JH127032	684493	684701	*	lme_circ_0000132	208	208	liver	None	INTERGENIC	None	None	Nitsche2013
JH137271	1966	2667	*	lme_circ_0000373	701	701	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH128472	127270	127414	*	lme_circ_0000371	144	144	liver	None	INTERGENIC	None	None	Nitsche2013
JH128017	394922	395965	-	lme_circ_0000172	1043	1043	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000010158	CTSF	Nitsche2013
JH126700	1846901	1847023	+	lme_circ_0000898	122	122	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000025974	si:rp71-1n18.3 (2 of	Nitsche2013
JH127214	716865	716999	+	lme_circ_0001060	134	134	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000014214	ENSLACG00000012423	Nitsche2013
JH126766	1548343	1551066	+	lme_circ_0000532	2723	92	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000018558	ENSLACG00000016227	Nitsche2013
JH127591	180275	181153	-	lme_circ_0000194	878	142	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006111	DDOST	Nitsche2013
JH130561	90049	90224	*	lme_circ_0000093	175	175	liver	None	INTERGENIC	None	None	Nitsche2013
JH128804	338196	338337	-	lme_circ_0000094	141	141	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000009427	SERPINA10	Nitsche2013
JH126587	757868	758675	+	lme_circ_0000684	807	200	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025315	KDM5B	Nitsche2013
JH127078	226395	226557	*	lme_circ_0000234	162	162	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH127111	1017525	1017705	*	lme_circ_0000980	180	180	testis	None	INTERGENIC	None	None	Nitsche2013
JH126718	140129	142094	+	lme_circ_0000709	1965	222	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000001098	FNBP1	Nitsche2013
JH127262	136433	137937	+	lme_circ_0001064	1504	81	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000025680	FAM166A	Nitsche2013
JH126572	3193658	3193778	+	lme_circ_0000516	120	120	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000026407	RPL35	Nitsche2013
