# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr5	119043341	119043579	+	mmu_circ_0001396	238	238	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-ins, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_172424	Med13l	Memczak2013, Wang2012
chr13	23831164	23831224	+	mmu_circ_0000441	60	60	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	NM_015786	Hist1h1c	Memczak2013
chr11	70713973	70722019	+	mmu_circ_0000283	8046	447	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_019400	Rabep1	Memczak2013
chr13	49027665	49029447	-	mmu_circ_0000462	1782	226	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001033268	Fam120a	Memczak2013
chr5	3813050	3830772	+	mmu_circ_0001312	17722	1033	mm_brain1	None	ANNOTATED, INTERNAL, ncRNA	NR_033173	Krit1	Memczak2013
chr12	83441648	83443486	+	mmu_circ_0000400	1838	1838	mm_ES, mm_head, mm_brain1, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001167983	Sipa1l1	Memczak2013, Wang2012
chr18	10129302	10132270	-	mmu_circ_0000844	2968	376	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_009071	Rock1	Memczak2013
chr11	104229993	104240140	-	mmu_circ_0000330	10147	241	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001081045	1700081L11Rik	Memczak2013, Wang2012
chr8	13136795	13142598	+	mmu_circ_0001659	5803	328	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_146207	Cul4a	Memczak2013
chrX	91784152	91784224	-	mmu_circ_0001885	72	72	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	NM_019791	Maged1	Memczak2013
chr9	21829117	21841304	-	mmu_circ_0001753	12187	743	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_010487	Elavl3	Memczak2013
chr11	74469924	74470841	+	mmu_circ_0000287	917	375	mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001081158	1300001I01Rik	Memczak2013, Wang2012
chr14	58484357	58497296	-	mmu_circ_0000545	12939	252	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_029492	Zdhhc20	Memczak2013
chr4	149780304	149780773	+	mmu_circ_0001295	469	469	mm_head, mm_brain1, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001085492	Rere	Memczak2013, Wang2012
chr16	31796951	31812910	+	mmu_circ_0000679	15959	423	mm_ES, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001252434	Dlg1	Memczak2013
chr16	33421406	33435060	+	mmu_circ_0000684	13654	567	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_011749	Zfp148	Memczak2013, Wang2012
chr14	35504867	35508291	+	mmu_circ_0000522	3424	1172	mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-ins, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001004436	Wapal	Memczak2013, Wang2012
chr12	56158228	56164096	-	mmu_circ_0000381	5868	576	mm_brain1	None	ANNOTATED, INTERNAL, ncRNA	NR_030764	2700097O09Rik	Memczak2013
chr4	128855484	128859776	-	mmu_circ_0001263	4292	966	mm_head, mm_brain1, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_029036	S100pbp	Memczak2013, Wang2012
chr3	122497177	122520985	+	mmu_circ_0001167	23808	580	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_153422	Pde5a	Memczak2013
chr4	120843222	120862863	-	mmu_circ_0001255	19641	2380	mm_ES, mm_head, mm_brain1, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_001081013	Rlf	Memczak2013, Wang2012
chr18	63951449	64025160	+	mmu_circ_0000880	73711	675	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001014981	Wdr7	Memczak2013
chr11	75307651	75307733	-	mmu_circ_0000293	82	82	mm_ES	None	ANTISENSE, CDS, coding, INTERNAL	NM_138659	Prpf8	Memczak2013
chr7	91781165	91782919	-	mmu_circ_0001591	1754	381	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_022985	Zfand6	Memczak2013, Wang2012
chr3	68885080	68891510	-	mmu_circ_0001138	6430	438	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_008467	Kpna4	Memczak2013
chr9	77021765	77078836	-	mmu_circ_0001812	57071	40508	mm_brain1	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic	NM_027150	2310046A06Rik	Memczak2013
chrX	45907154	45920290	-	mmu_circ_0001873	13136	1034	mm_ES, mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001166649	Zfp280c	Memczak2013
chr1	162050628	162053049	-	mmu_circ_0000104	2421	528	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_177839	Tnn	Memczak2013
chr17	66373415	66402431	-	mmu_circ_0000807	29016	994	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001025572	Ankrd12	Memczak2013
chr1	154691165	154691537	-	mmu_circ_0000089	372	372	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001160256	Smg7	Memczak2013
chr15	35002184	35045400	-	mmu_circ_0000585	43216	658	mm_ES, mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_019635	Stk3	Memczak2013
chr9	122868234	122869108	+	mmu_circ_0001864	874	227	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_010620	Kif15	Memczak2013
chr18	39387021	39406578	+	mmu_circ_0000867	19557	394	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175164	Arhgap26	Memczak2013
chr7	149837008	149837071	+	mmu_circ_0001651	63	63	mm_ES	None	ANTISENSE, coding, INTERNAL, UTR3	NM_010514	Igf2	Memczak2013
chr9	112085998	112090270	-	mmu_circ_0001849	4272	508	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001177620	Arpp21	Memczak2013
chr12	107274749	107281102	+	mmu_circ_0000413	6353	221	mm_ES, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_011705	Vrk1	Memczak2013
chr14	87871882	87887094	+	mmu_circ_0000561	15212	949	mm_ES, mm_head, mm_brain1, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_172605	Tdrd3	Memczak2013, Wang2012
chr1	159216861	159229395	-	mmu_circ_0000100	12534	252	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_177644	Rasal2	Memczak2013
chr16	81490488	81527368	+	mmu_circ_0000703	36880	610	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_010954	Ncam2	Memczak2013
chr13	17842090	17864791	-	mmu_circ_0000433	22701	1386	mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001081058	Cdk13	Memczak2013, Wang2012
chr3	122450806	122451395	+	mmu_circ_0001165	589	589	mm_head, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_153422	Pde5a	Memczak2013, Wang2012
chr2	23392847	23401099	-	mmu_circ_0000989	8252	869	mm_head, mm_brain1, C2C12-control-cyto, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001165997	Spopl	Memczak2013, Wang2012
chr6	134012081	134016483	+	mmu_circ_0001528	4402	4402	mm_ES, C2C12-control-cyto	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_007961	Etv6	Memczak2013, Wang2012
chr1	51869846	51891387	-	mmu_circ_0000036	21541	311	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_010863	Myo1b	Memczak2013
chr4	107523912	107529925	+	mmu_circ_0001238	6013	908	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001080926	Lrp8	Memczak2013
chr11	69481385	69481471	-	mmu_circ_0000278	86	86	mm_ES	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_144958	Eif4a1	Memczak2013
chr6	124655532	124655674	-	mmu_circ_0001522	142	142	mm_ES, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_013536	Emg1	Memczak2013
chr8	111317633	111317719	-	mmu_circ_0001725	86	86	mm_ES, mm_head	None	ANTISENSE, CDS, coding, INTERNAL	NM_007496	Zfhx3	Memczak2013
chr7	28714313	28793455	-	mmu_circ_0001553	79142	79142	mm_ES	None	ALT_ACCEPTOR, coding, upstream_start, UTR5	NM_028538	1700049G17Rik	Memczak2013
chr8	70406879	70432788	-	mmu_circ_0001682	25909	553	mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_177698	Psd3	Memczak2013
chr10	81831315	81831703	+	mmu_circ_0000192	388	388	mm_ES	None	INTERGENIC	None	None	Memczak2013
chr13	64344941	64349807	-	mmu_circ_0000474	4866	355	mm_ES, mm_brain1, mm_brain2, C2C12-shMbnl12-mem	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001122989	Cdc14b	Memczak2013, Wang2012
chr7	149763837	149763889	-	mmu_circ_0001650	52	52	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, INTERNAL, ncRNA	NR_001592	H19	Memczak2013
chr19	4037862	4041938	-	mmu_circ_0000916	4076	4076	mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_013541	Gstp1	Memczak2013, Wang2012
chr14	123991903	123999211	-	mmu_circ_0000570	7308	7308	mm_brain1, mm_brain2	None	INTERGENIC	None	None	Memczak2013
chr1	121661607	121662499	-	mmu_circ_0000069	892	219	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_019933	Ptpn4	Memczak2013
chr4	130274071	130275266	+	mmu_circ_0001274	1195	285	mm_ES, mm_head	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	NM_001159603	Pum1	Memczak2013
chr5	111102127	111105957	-	mmu_circ_0001386	3830	925	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_029337	Ep400	Memczak2013
chr12	25563055	25619487	+	mmu_circ_0000364	56432	376	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_026037	Mboat2	Memczak2013
chr18	35312254	35314194	+	mmu_circ_0000860	1940	303	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_009818	Ctnna1	Memczak2013, Wang2012
chr6	99378782	99385339	-	mmu_circ_0001498	6557	6557	mm_brain1	None	ALT_DONOR, coding, intronic, UTR5	NM_053202	Foxp1	Memczak2013
chr5	20049402	20075172	+	mmu_circ_0001321	25770	576	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001170746	Magi2	Memczak2013
chr4	43505727	43505895	+	mmu_circ_0001196	168	168	mm_head	None	ANTISENSE, INTERNAL, ncRNA	NR_001460	Rmrp	Memczak2013
chr7	63355448	63361902	+	mmu_circ_0001571	6454	718	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_010418	Herc2	Memczak2013
chr5	5092957	5103854	-	mmu_circ_0001313	10897	187	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_011074	Cdk14	Memczak2013
chr2	33115997	33180223	-	mmu_circ_0001004	64226	445	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175211	Ralgps1	Memczak2013
chr7	67006966	67014712	-	mmu_circ_0001576	7746	7746	mm_head, mm_brain1	None	INTERGENIC	None	None	Memczak2013
chr10	119366956	119382227	+	mmu_circ_0000216	15271	588	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_130891	Grip1	Memczak2013
chr2	139772892	139777315	-	mmu_circ_0001071	4423	199	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001159641	Tasp1	Memczak2013
chr4	86246654	86250193	-	mmu_circ_0001228	3539	393	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_173400	Haus6	Memczak2013
chr5	44149460	44164898	-	mmu_circ_0001345	15438	1763	mm_head, mm_brain2, C2C12-control-cyto, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001159963	Fbxl5	Memczak2013, Wang2012
chr11	109529440	109529511	-	mmu_circ_0000337	71	71	mm_head	None	ANTISENSE, coding, INTERNAL, UTR3	NM_021880	Prkar1a	Memczak2013
chr9	112060193	112088273	-	mmu_circ_0001847	28080	827	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_033264	Arpp21	Memczak2013
chr1	39320163	39357578	+	mmu_circ_0000032	37415	388	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_008719	Npas2	Memczak2013
chr4	24609201	24620781	-	mmu_circ_0001186	11580	11580	mm_brain1	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic	NM_001033531	Klhl32	Memczak2013
chr1	140936576	141007062	+	mmu_circ_0000082	70486	963	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001166501	Dennd1b	Memczak2013
chr13	23831251	23831317	+	mmu_circ_0000443	66	66	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	NM_015786	Hist1h1c	Memczak2013
chr17	39982799	39982898	+	mmu_circ_0000788	99	99	mm_ES, mm_head	None	INTERGENIC	None	None	Memczak2013
chr4	55063057	55073109	+	mmu_circ_0001207	10052	629	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_172867	Zfp462	Memczak2013
chr5	15770075	15773293	+	mmu_circ_0001317	3218	221	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_009784	Cacna2d1	Memczak2013
chr1	63194969	63195145	-	mmu_circ_0000044	176	176	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_145518	Ndufs1	Memczak2013
chr3	58886874	58897617	+	mmu_circ_0001135	10743	756	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_177855	Med12l	Memczak2013
chr7	128035109	128035567	+	mmu_circ_0001623	458	324	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001251826	Eef2k	Memczak2013
chr11	84006580	84009189	+	mmu_circ_0000301	2609	2609	mm_ES, mm_head, mm_brain1, mm_brain2	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	NM_133360	Acaca	Memczak2013
chr2	169709025	169712086	+	mmu_circ_0001107	3061	3061	mm_brain1	None	ALT_DONOR, CDS, coding, INTERNAL, UTR3	NM_080455	Tshz2	Memczak2013
chr17	25372126	25372572	-	mmu_circ_0000732	446	292	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_172529	Gnptg	Memczak2013
chr14	70634946	70667313	-	mmu_circ_0000550	32367	1089	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_008915	Ppp3cc	Memczak2013
chr2	70583990	70588581	-	mmu_circ_0001030	4591	294	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_172664	Tlk1	Memczak2013
chr19	57826119	57871993	+	mmu_circ_0000968	45874	473	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_181415	Atrnl1	Memczak2013
chr2	120359246	120361415	-	mmu_circ_0001062	2169	2169	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_011743	Zfp106	Memczak2013
chr14	22445940	22456862	+	mmu_circ_0000507	10922	636	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_017479	Myst4	Memczak2013
chr4	24432491	24463595	+	mmu_circ_0001185	31104	1433	mm_ES, mm_head, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_199467	Mms22l	Memczak2013, Wang2012
chr19	14619277	14638941	-	mmu_circ_0000935	19664	138	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_011600	Tle4	Memczak2013
chr5	134967762	134976019	-	mmu_circ_0001423	8257	708	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_009990	Clip2	Memczak2013
chr1	89776942	89778514	+	mmu_circ_0000058	1572	192	mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_177646	Dgkd	Memczak2013, Wang2012
chr13	11851937	11877408	-	mmu_circ_0000431	25471	880	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_023868	Ryr2	Memczak2013
chr17	46375321	46375936	+	mmu_circ_0000797	615	145	mm_ES, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_028198	Xpo5	Memczak2013
chr5	106320136	106340527	+	mmu_circ_0001377	20391	786	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_018759	Zfp326	Memczak2013
chr6	27313084	27314020	-	mmu_circ_0001449	936	936	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_008174	Grm8	Memczak2013
chr13	97911881	97920368	+	mmu_circ_0000492	8487	540	mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001146043	Gfm2	Memczak2013
chr17	39980096	39980257	+	mmu_circ_0000752	161	161	mm_ES	None	INTERGENIC	None	None	Memczak2013
chr7	106494628	106494753	-	mmu_circ_0001602	125	125	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, UTR3	NM_009825	Serpinh1	Memczak2013
chr12	3899699	3899835	+	mmu_circ_0000353	136	136	mm_head	None	ALT_DONOR, coding, INTERNAL, intronic	NM_007872	Dnmt3a	Memczak2013
chr14	51427174	51427325	-	mmu_circ_0000534	151	151	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, INTERNAL, ncRNA	NR_002142	Rpph1	Memczak2013
chr6	92138520	92138601	-	mmu_circ_0001495	81	81	mm_ES	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_030081	Zfyve20	Memczak2013
chr1	24515022	24582298	-	mmu_circ_0000019	67276	1053	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_007733	Col19a1	Memczak2013
chr17	35971915	35971995	+	mmu_circ_0000748	80	80	mm_ES, mm_head	None	ANTISENSE, CDS, coding, INTERNAL, UTR3	NM_011655	Tubb5	Memczak2013
chr11	108873268	108873347	-	mmu_circ_0000336	79	79	mm_ES	None	INTERGENIC	None	None	Memczak2013
chr12	78039173	78039233	-	mmu_circ_0000392	60	60	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_008558	Max	Memczak2013
chr15	96840603	96840782	+	mmu_circ_0000647	179	179	mm_ES	None	ANTISENSE, CDS, coding, INTERNAL	NM_027052	Slc38a4	Memczak2013
chr17	34330429	34351148	+	mmu_circ_0000741	20719	18110	mm_head, mm_brain1	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	NM_001161730	Tap1	Memczak2013
chr17	14481333	14512526	+	mmu_circ_0000726	31193	444	mm_head, C2C12-control-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022315	Smoc2	Memczak2013, Wang2012
chr3	83994434	84014276	-	mmu_circ_0001142	19842	1477	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_030706	Trim2	Memczak2013
chr11	21713362	21757612	+	mmu_circ_0000244	44250	266	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_145425	Wdpcp	Memczak2013
chr2	119747101	119747578	+	mmu_circ_0001060	477	237	mm_ES, mm_head, mm_brain2, C2C12-control-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013720	Mga	Memczak2013, Wang2012
chr7	104809322	104813276	+	mmu_circ_0001598	3954	1976	mm_ES, mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001081267	Rsf1	Memczak2013
chr8	87574103	87574172	-	mmu_circ_0001706	69	69	mm_ES	None	ANTISENSE, coding, INTERNAL, intronic	NM_145390	Tnpo2	Memczak2013
chr3	55446658	55453689	-	mmu_circ_0001129	7031	682	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_030595	Nbea	Memczak2013
chr15	61938702	61939020	+	mmu_circ_0000604	318	318	mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-ins, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_003368	Pvt1	Memczak2013, Wang2012
chr5	33162514	33178337	-	mmu_circ_0001333	15823	5072	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-ins, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_194340	C330019G07Rik	Memczak2013, Wang2012
chr8	79834629	79889059	-	mmu_circ_0001691	54430	639	mm_ES, mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_030113	Arhgap10	Memczak2013, Wang2012
chr13	44997594	44998627	+	mmu_circ_0000459	1033	1033	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_021878	Jarid2	Memczak2013
chr13	78091245	78145733	+	mmu_circ_0000480	54488	322	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001163419	Fam172a	Memczak2013
chr2	5894514	5909518	+	mmu_circ_0000973	15004	696	mm_ES, mm_head, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001081132	Upf2	Memczak2013, Wang2012
chr5	123549845	123554520	+	mmu_circ_0001407	4675	363	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_001039723	Tmem120b	Memczak2013
chr8	90653593	90654300	+	mmu_circ_0001712	707	165	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_029074	Tmem188	Memczak2013
chrX	132375391	132375463	+	mmu_circ_0001892	72	72	mm_ES, mm_head, mm_brain1	None	ANNOTATED, coding, INTERNAL, UTR5	NM_001163016	Gprasp2	Memczak2013
chr4	58874396	58898370	-	mmu_circ_0001213	23974	1031	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_172381	AI314180	Memczak2013
chr10	89532212	89539887	+	mmu_circ_0000199	7675	459	mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001128086	Anks1b	Memczak2013
chr5	96957519	96974102	+	mmu_circ_0001365	16583	495	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_175473	Fras1	Memczak2013
