chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chrIII	11116032	11195082	-	cel_circ_0000434	79050	67153	fem1, sperm	None	ALT_DONOR, CDS, coding, downstream_end, UTR3, UTR5	Y47D3A.6b	tra-1	Memczak2013
chrIII	11107311	11118978	-	cel_circ_0000431	11667	10745	spe9	DNA	ALT_DONOR, CDS, coding, downstream_end	Y48A6C.3	sup-35	Memczak2013
chrIII	10295553	10300632	+	cel_circ_0000424	5079	3855	1cell, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	K10G9.1	K10G9.1	Memczak2013
chrIII	6463109	6463226	+	cel_circ_0000390	117	117	1cell, 2cell, fem1, spe9, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL, UTR3	T26A5.9.1	dlc-1	Memczak2013
chrII	2132067	2132983	+	cel_circ_0000197	916	916	fem1, spe9	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	R52.1	sdz-28	Memczak2013
chrIV	386492	386601	-	cel_circ_0000463	109	109	spe9, sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL, UTR3	T07A9.11.1	rps-24	Memczak2013
chrIV	16862350	16862790	-	cel_circ_0000582	440	320	spe9	None	ANNOTATED, CDS, coding, INTERNAL	T06A10.1	mel-46	Memczak2013
chrV	8422033	8422715	-	cel_circ_0000617	682	682	fem1, spe9	None	ANNOTATED, CDS, coding, UTR5	F52E1.13b.2	F52E1.13	Memczak2013
chrIII	2482724	2483108	+	cel_circ_0000352	384	307	1cell, 2cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y54F10AL.2a	smg-6	Memczak2013
chrV	14813156	14814418	-	cel_circ_0000634	1262	409	1cell, spe9	None	ANNOTATED, CDS, coding, INTERNAL	C48G7.3a	tag-333	Memczak2013
chrI	14740949	14741941	+	cel_circ_0000166	992	992	spe9	None	ANNOTATED, CDS, coding, INTERNAL	K05C4.6	hmp-2	Memczak2013
chrI	13330714	13330832	-	cel_circ_0000139	118	118	2cell	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, UTR5	T04D3.5.1	T04D3.5	Memczak2013
chrIV	4049269	4049441	-	cel_circ_0000516	172	172	1cell, fem1, spe9	None	ANNOTATED, CDS, coding, UTR5	W03D2.4.1	W03D2.4.1	Memczak2013
chrI	13578490	13579341	+	cel_circ_0000144	851	851	2cell, fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y87G2A.8a.4	Y87G2A.8a.4	Memczak2013
chrII	9270666	9270821	-	cel_circ_0000246	155	155	spe9	None	ANTISENSE, CDS, coding, INTERNAL	C01G6.3	C01G6.3	Memczak2013
chrIII	8953529	8953644	+	cel_circ_0000410	115	115	1cell, fem1	None	ANTISENSE, CDS, coding, INTERNAL	ZK643.5	ZK643.5	Memczak2013
chrI	865732	866860	+	cel_circ_0000010	1128	300	1cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y95B8A.7	Y95B8A.7	Memczak2013
chrIV	2515054	2515383	+	cel_circ_0000501	329	329	2cell, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y69A2AR.16	Y69A2AR.16	Memczak2013
chrI	11390938	11392176	-	cel_circ_0000116	1238	325	1cell, 2cell, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y53H1C.1b	aat-9	Memczak2013
chrII	3307403	3309487	-	cel_circ_0000210	2084	2084	fem1, spe9	None	INTERGENIC	None	None	Memczak2013
chrI	6078696	6078842	-	cel_circ_0000066	146	146	spe9	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	ZK484.4a	ZK484.4	Memczak2013
chrIII	11269798	11270715	-	cel_circ_0000437	917	265	1cell, fem1, sperm	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y47D3A.17a	obr-1	Memczak2013
chrIV	2489628	2490079	+	cel_circ_0000498	451	219	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y69A2AR.19	Y69A2AR.19	Memczak2013
chrI	8050423	8051354	+	cel_circ_0000085	931	882	fem1	None	ANNOTATED, CDS, coding, INTERNAL	K04G2.8a	04/01/13	Memczak2013
chrIII	707146	709230	+	cel_circ_0000303	2084	400	fem1	None	ANNOTATED, CDS, coding, INTERNAL	C24A1.2a	C24A1.2	Memczak2013
chrI	10668624	10669265	+	cel_circ_0000104	641	359	spe9	None	ANNOTATED, CDS, coding, INTERNAL	B0511.1	fkb-7	Memczak2013
chrV	19080440	19080829	-	cel_circ_0000676	389	389	1cell, fem1, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y39B6A.17a	nhr-95	Memczak2013
chrV	13153112	13153961	+	cel_circ_0000625	849	583	spe9	None	ALT_DONOR, CDS, coding, INTERNAL	K03H4.2	K03H4.2	Memczak2013
chrI	1511898	1512000	+	cel_circ_0000025	102	102	2cell, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	Y92H12A.5	Y92H12A.5	Memczak2013
chrII	14131104	14131674	-	cel_circ_0000273	570	523	spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	K09E4.2	K09E4.2	Memczak2013
chrI	1377016	1386404	-	cel_circ_0000019	9388	9388	fem1	None	ALT_DONOR, CDS, coding, downstream_end	Y92H12BM.1	Y92H12BM.1	Memczak2013
chrI	9174552	9174760	-	cel_circ_0000093	208	208	sperm	None	ANTISENSE, CDS, coding, INTERNAL	F25H5.3b	pyk-1	Memczak2013
chrII	4235723	4237264	-	cel_circ_0000220	1541	1492	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start	C16A11.9	fbxc-43	Memczak2013
chrIV	1999378	1999702	+	cel_circ_0000482	324	324	2cell, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y76B12C.2	xpc-1	Memczak2013
chrV	16095832	16095947	+	cel_circ_0000643	115	115	sperm, sperm_act	None	ALT_DONOR, CDS, coding, INTERNAL	F22B8.7	F22B8.7	Memczak2013
chrI	5998579	6000888	-	cel_circ_0000064	2309	1964	1cell, fem1, sperm	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	C06A5.7b	unc-94	Memczak2013
chrI	2287563	2289754	-	cel_circ_0000039	2191	393	2cell	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	Y39G10AL.3.1	cdk-7	Memczak2013
chrIV	985667	988456	-	cel_circ_0000468	2789	2732	1cell, spe9, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	Y55F3AM.7	egrh-2	Memczak2013
chrIII	1927665	1931276	+	cel_circ_0000335	3611	1191	fem1, spe9, sperm	None	ALT_DONOR, CDS, coding, UTR5	F53A3.6	F53A3.6	Memczak2013
chrIII	12053466	12055043	-	cel_circ_0000444	1577	372	fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y79H2A.6	arx-3	Memczak2013
chrIII	8014336	8014961	-	cel_circ_0000404	625	532	1cell, 2cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	F44B9.5.2	F44B9.5	Memczak2013
chrV	5504097	5504202	-	cel_circ_0000606	105	105	fem1, spe9, sperm_act	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	T05C3.5.1	dnj-19	Memczak2013
chrII	9747229	9747331	+	cel_circ_0000250	102	102	1cell, 2cell, sperm	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y53C12B.3a	nos-3	Memczak2013
chrIV	2242177	2242264	-	cel_circ_0000489	87	87	sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	M70.3a	M70.3	Memczak2013
chrIV	3222437	3225880	+	cel_circ_0000509	3443	1350	1cell, fem1, spe9, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3, UTR5	Y67D8A.2a.2	Y67D8A.2	Memczak2013
chrI	6087619	6087717	+	cel_circ_0000070	98	98	sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	ZK484.5	ZK484.5	Memczak2013
chrI	497692	498570	-	cel_circ_0000008	878	426	2cell, fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y65B4BL.3	Y65B4BL.3	Memczak2013
chrV	18043535	18047649	+	cel_circ_0000650	6310	894	fem1, spe9	None	ANNOTATED, CDS, coding, UTR5	Y59A8B.7	ebp-1	Memczak2013
chrV	20239625	20241520	-	cel_circ_0000691	1895	514	fem1, spe9, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y113G7B.23	psa-1	Memczak2013
chrIV	3059680	3142984	+	cel_circ_0000507	83304	82191	1cell, 2cell, fem1, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	Y67D8C.3a	Y67D8C.3	Memczak2013
chrIV	13485494	13486960	-	cel_circ_0000566	1466	453	2cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y45F10A.6b	tbc-9	Memczak2013
chrI	14109218	14109432	-	cel_circ_0000158	214	214	1cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y63D3A.6b	dnj-29	Memczak2013
chrI	14579068	14579561	-	cel_circ_0000161	493	231	2cell, fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y105E8A.24a	Y105E8A.24	Memczak2013
chrV	3738214	3739383	-	cel_circ_0000598	1169	862	spe9	None	ALT_DONOR, CDS, coding, downstream_end	Y39H10A.5	Y39H10A.5	Memczak2013
chrI	1420211	1421309	+	cel_circ_0000022	1098	1098	2cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y92H12BR.3a	Y92H12BR.3	Memczak2013
chrII	6664173	6671969	+	cel_circ_0000233	7796	7665	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	T19D12.2c.1	T19D12.2	Memczak2013
chrX	6252734	6252921	+	cel_circ_0000707	187	187	fem1, spe9, sperm_act	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	W05H9.3	W05H9.3	Memczak2013
chrIII	12631806	12634809	+	cel_circ_0000451	3003	588	spe9, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y111B2A.14.2	Y111B2A.14.2	Memczak2013
chrIV	4044720	4044985	+	cel_circ_0000513	752	350	fem1, spe9, sperm_act	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	F35F11.1	F35F11.1	Memczak2013
chrII	6192933	6193029	-	cel_circ_0000232	96	96	sperm, sperm_act	None	ANTISENSE, coding, INTERNAL, UTR5	C30B5.3	cpb-2	Memczak2013
chrII	3446582	3452199	+	cel_circ_0000214	5617	4520	fem1, spe9, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	C16C8.16	C16C8.16	Memczak2013
chrI	11384076	11384356	+	cel_circ_0000115	280	280	1cell, 2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	F56G4.5	png-1	Memczak2013
chrIII	6463186	6463649	-	cel_circ_0000391	463	183	1cell, 2cell, fem1, sperm	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	T26A5.9	dlc-1	Memczak2013
chrI	14099478	14099938	-	cel_circ_0000157	460	327	spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y63D3A.4	Y63D3A.4	Memczak2013
chrI	1892269	1892873	-	cel_circ_0000033	604	533	sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y71G12A.4	Y71G12A.4	Memczak2013
chrV	310115	310390	-	cel_circ_0000589	275	275	1cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	F33E11.6b	F33E11.6	Memczak2013
chrIV	16665185	16672924	+	cel_circ_0000581	7739	3509	2cell, fem1, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	Y51H4A.17c	sta-1	Memczak2013
chrII	5490056	5490193	-	cel_circ_0000227	137	137	sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	F12A10.4	F12A10.4	Memczak2013
chrIII	1946057	1948044	-	cel_circ_0000337	1987	786	2cell, fem1	None	ANNOTATED, CDS, coding, INTERNAL	F53A3.2	polh-1	Memczak2013
chrIV	6337652	6337756	+	cel_circ_0000529	104	104	1cell, fem1	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y73B6BL.4	Y73B6BL.4	Memczak2013
chrI	1517533	1520271	+	cel_circ_0000026	2738	701	1cell, spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y92H12A.4	Y92H12A.4	Memczak2013
chrV	18959367	18959808	-	cel_circ_0000674	441	380	2cell, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y39B6A.46	ztf-20	Memczak2013
chrIII	8739344	8741024	-	cel_circ_0000406	1680	682	1cell, spe9	None	ANNOTATED, CDS, coding, INTERNAL	ZK370.5.2	pdhk-2	Memczak2013
chrIII	730585	731798	-	cel_circ_0000304	1213	309	1cell, 2cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	T17H7.4c.3	gei-16	Memczak2013
chrI	13573943	13574629	+	cel_circ_0000143	686	629	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y87G2A.7	Y87G2A.7	Memczak2013
chrIV	1499860	1500983	+	cel_circ_0000474	1123	338	2cell, fem1, spe9, sperm	None	ANNOTATED, CDS, coding, UTR5	Y77E11A.1.2	Y77E11A.1	Memczak2013
chrIII	9080692	9080780	+	cel_circ_0000412	88	88	sperm	None	ANTISENSE, CDS, coding, INTERNAL	F02A9.2.1	far-1	Memczak2013
chrII	8515012	8515107	+	cel_circ_0000241	95	95	sperm_act	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	T13H5.2	ctg-2	Memczak2013
chrI	12917876	12918912	+	cel_circ_0000133	1036	1036	fem1, spe9, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	Y18D10A.25	fkb-8	Memczak2013
chrIII	10297414	10302808	+	cel_circ_0000425	5394	4864	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	K10G9.1	K10G9.1	Memczak2013
chrI	1377018	1386404	-	cel_circ_0000020	9386	9386	1cell, 2cell, fem1, spe9, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	Y92H12BM.1	Y92H12BM.1	Memczak2013
chrIII	1969531	1970179	-	cel_circ_0000340	648	648	sperm, sperm_act	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic	R155.2	R155.2	Memczak2013
chrI	1431678	1433718	-	cel_circ_0000024	2040	1545	fem1, spe9	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, UTR3, UTR5	Y92H12BR.4	Y92H12BR.4	Memczak2013
chrV	19901370	19901871	-	cel_circ_0000687	501	260	1cell, 2cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y60A3A.13a	frs-3	Memczak2013
chrV	1819940	1820415	-	cel_circ_0000595	475	475	1cell, 2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y46H3A.6	gly-7	Memczak2013
chrII	12901601	12904713	+	cel_circ_0000265	3112	2368	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	F35C5.8.1	clec-65	Memczak2013
chrV	18686988	18687738	-	cel_circ_0000664	750	411	fem1, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y69H2.6	ubc-19	Memczak2013
chrI	9369857	9382621	-	cel_circ_0000094	12764	1180	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	F16A11.3c	ppfr-1	Memczak2013
chrX	12913234	12913758	+	cel_circ_0000716	524	524	sperm_act	None	ANNOTATED, CDS, coding, UTR5	C34E7.1.1	pqn-18	Memczak2013
chrI	7352903	7353005	-	cel_circ_0000083	102	102	sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	F07A5.2	F07A5.2	Memczak2013
chrIV	13537282	13537627	+	cel_circ_0000569	409	409	spe9	None	ANTISENSE, CDS, coding, INTERNAL, intronic	F52G2.2b.1	rsd-2	Memczak2013
chrIII	2479948	2482086	+	cel_circ_0000351	2138	346	1cell, 2cell	None	ANNOTATED, CDS, coding, INTERNAL	Y54F10AL.2a	smg-6	Memczak2013
chrIII	6762405	6788688	-	cel_circ_0000395	26283	26283	sperm	None	ANTISENSE, CDS, coding, INTERNAL	K07E12.1a.2	dig-1	Memczak2013
chrV	19900491	19901473	-	cel_circ_0000684	2270	516	1cell, fem1, spe9, sperm, sperm_act	RC	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y60A3A.13a	frs-3	Memczak2013
chrI	12968030	12968153	-	cel_circ_0000136	123	123	1cell, spe9	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	C47B2.4	pbs-2	Memczak2013
chrII	310619	316779	-	cel_circ_0000176	7918	7918	fem1, spe9, sperm	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	K01A2.8a	mps-2	Memczak2013
chrI	3825188	3825845	-	cel_circ_0000049	657	657	fem1	None	ANTISENSE, CDS, coding, INTERNAL	F53F10.4	unc-108	Memczak2013
chrII	14130372	14131674	-	cel_circ_0000272	1302	757	1cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	K09E4.2	K09E4.2	Memczak2013
chrIV	7762849	7763361	-	cel_circ_0000536	512	414	1cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	C46A5.6	C46A5.6	Memczak2013
chrII	9651551	9652585	-	cel_circ_0000249	1034	1034	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start	ZK1307.4	ZK1307.4	Memczak2013
chrIV	13882227	13882489	-	cel_circ_0000574	262	262	2cell, spe9, sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	B0513.3	rpl-29	Memczak2013
chrI	6055004	6059793	-	cel_circ_0000065	4789	4637	2cell, fem1	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	C27A12.6	C27A12.6	Memczak2013
chrV	20399910	20403740	-	cel_circ_0000693	3830	569	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	F53H2.3	F53H2.3	Memczak2013
chrIV	9742300	9745972	-	cel_circ_0000547	5287	5178	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	C28D4.7	C28D4.7	Memczak2013
chrII	169873	170030	-	cel_circ_0000169	157	157	spe9	None	ANTISENSE, coding, INTERNAL, UTR3	T01D1.2a.2	etr-1	Memczak2013
chrIII	261123	261388	+	cel_circ_0000295	265	265	1cell, 2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y50D7A.3a	Y50D7A.3	Memczak2013
chrIII	983247	987508	+	cel_circ_0000309	4261	1254	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	R06B10.5.1	tbc-10	Memczak2013
chrIII	3299365	3299857	+	cel_circ_0000364	492	351	1cell, 2cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y53G8AR.5	Y53G8AR.5	Memczak2013
chrIII	984270	984487	+	cel_circ_0000310	217	217	spe9	None	ANNOTATED, CDS, coding, INTERNAL	R06B10.5.1	tbc-10	Memczak2013
chrV	18160177	18165498	-	cel_circ_0000658	5321	4687	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start	C14A6.13	C14A6.13	Memczak2013
chrI	13784388	13786069	+	cel_circ_0000150	224	224	1cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y37H9A.3	Y37H9A.3	Memczak2013
chrIII	1827227	1832242	+	cel_circ_0000330	5015	883	fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y39A3CL.7a	Y39A3CL.7	Memczak2013
chrI	5134743	5135373	+	cel_circ_0000059	630	464	fem1, spe9, sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start	Y110A7A.5	mtm-1	Memczak2013
chrI	10603051	10603590	+	cel_circ_0000103	539	484	1cell, sperm	None	ANNOTATED, CDS, coding, INTERNAL	T22A3.5	pash-1	Memczak2013
chrV	841381	842095	-	cel_circ_0000590	714	426	sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	K09C6.8	K09C6.8	Memczak2013
chrV	18688227	18688469	-	cel_circ_0000665	242	242	1cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y69H2.6	ubc-19	Memczak2013
chrIII	12547412	12547551	-	cel_circ_0000449	139	139	spe9	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	Y111B2A.8	Y111B2A.8	Memczak2013
chrI	12730360	12731510	-	cel_circ_0000128	1150	509	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	W02A11.1	W02A11.1	Memczak2013
chrIV	2357633	2364959	+	cel_circ_0000493	7326	1793	2cell, fem1	None	ALT_ACCEPTOR, CDS, coding, upstream_start	Y38F2AR.5	Y38F2AR.5	Memczak2013
chrIII	4635664	4638717	+	cel_circ_0000382	3053	2812	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	F10F2.8	clec-153	Memczak2013
chrIV	4044720	4045472	+	cel_circ_0000514	1579	638	spe9	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	F35F11.1	F35F11.1	Memczak2013
chrIV	11477434	11477538	+	cel_circ_0000557	104	104	fem1, spe9, sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	C10C6.6	C10C6.6	Memczak2013
chrI	1167653	1167978	-	cel_circ_0000016	325	325	2cell, spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y48G8AL.11	haf-6	Memczak2013
chrV	15036694	15105719	-	cel_circ_0000635	69025	69025	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	C25D7.1	C25D7.1	Memczak2013
chrIII	13778049	13782807	+	cel_circ_0000462	4758	4649	fem1, spe9, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	K08E3.8	mdt-29	Memczak2013
chrI	1524298	1524644	+	cel_circ_0000027	346	346	1cell, 2cell, fem1, spe9, sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y92H12A.4	Y92H12A.4	Memczak2013
chrI	12083561	12083648	-	cel_circ_0000124	87	87	sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start	Y47H10A.1	clp-3	Memczak2013
chrII	15222732	15224717	+	cel_circ_0000287	1985	453	spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y46E12BL.4	Y46E12BL.4	Memczak2013
chrIV	4164276	4165982	+	cel_circ_0000520	1706	1706	fem1, spe9, sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	K08D10.8	scrm-5	Memczak2013
