# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
JH127028	218952	220788	+	lcm_circ_0000382	1836	59	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006409	SERBP1	Nitsche2013
JH126721	925548	930054	-	lcm_circ_0000683	4506	541	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015866	NUP133	Nitsche2013
JH126747	205548	219506	-	lcm_circ_0000667	13958	1908	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000005999	TAF3	Nitsche2013
JH127111	1148862	1150143	-	lcm_circ_0000566	1281	128	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017119	ENO3	Nitsche2013
JH126906	1037893	1038029	*	lcm_circ_0000422	136	136	muscle	None	INTERGENIC	None	None	Nitsche2013
JH129310	19845	20729	-	lcm_circ_0000435	884	122	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000001324	HSPA8	Nitsche2013
JH126819	678853	680287	-	lcm_circ_0000194	1434	284	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000013795	IGFN1	Nitsche2013
JH129389	72071	75940	+	lcm_circ_0000398	3869	161	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000002088	COL1A2	Nitsche2013
JH127047	694757	703779	+	lcm_circ_0000708	9022	572	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000013933	NEXN	Nitsche2013
JH127045	1066382	1069676	-	lcm_circ_0000583	3294	3294	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000016676	rpl19	Nitsche2013
JH126714	244899	245085	*	lcm_circ_0000611	186	186	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126831	55586	55710	*	lcm_circ_0000554	124	124	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127077	825088	827941	+	lcm_circ_0000208	2853	2853	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON	ENSLACT00000015035	EIF3F	Nitsche2013
JH127205	874974	875204	*	lcm_circ_0000653	230	230	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127319	465412	465576	+	lcm_circ_0000286	164	164	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000011159	KPNA4	Nitsche2013
JH127746	307800	312962	-	lcm_circ_0000542	5162	284	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3	ENSLACT00000009016	RPS27	Nitsche2013
JH127617	576561	591212	+	lcm_circ_0000178	14651	247	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000012226	TNNT3	Nitsche2013
AFYH01288681	278	392	*	lcm_circ_0000093	114	114	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126593	2924510	2924696	*	lcm_circ_0000460	186	186	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126786	628013	630998	*	lcm_circ_0000340	2985	2985	muscle	None	INTERGENIC	None	None	Nitsche2013
JH131656	38380	38519	*	lcm_circ_0000694	139	139	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127661	32117	36924	+	lcm_circ_0000333	4807	223	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000002017	MYLPF	Nitsche2013
JH126760	535255	535555	-	lcm_circ_0000560	300	300	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000012329	VAMP3	Nitsche2013
JH126593	2916920	2917059	*	lcm_circ_0000485	139	139	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126577	802421	802558	-	lcm_circ_0000297	137	137	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000026654	TPM1	Nitsche2013
JH128364	418147	418540	-	lcm_circ_0000244	393	393	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000010759	ENSLACG00000009407	Nitsche2013
JH126577	801053	801240	-	lcm_circ_0000301	187	187	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000026654	TPM1	Nitsche2013
JH126831	1010942	1061299	*	lcm_circ_0000556	50357	50357	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126941	1405202	1411493	-	lcm_circ_0000762	6291	6291	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON, UTR3	ENSLACT00000018224	EIF4E2	Nitsche2013
JH126593	2917474	2917729	*	lcm_circ_0000447	255	255	muscle	None	INTERGENIC	None	None	Nitsche2013
AFYH01274553	1690	3860	*	lcm_circ_0000030	2170	2170	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127208	1076238	1076451	+	lcm_circ_0000041	213	213	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000016039	TTN	Nitsche2013
JH127819	490047	493059	+	lcm_circ_0000506	3012	196	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000024940	ATP2A1	Nitsche2013
JH126564	382248	382493	*	lcm_circ_0000637	245	245	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126846	345307	350360	-	lcm_circ_0000680	5053	286	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009091	DDX46	Nitsche2013
JH126663	1067457	1073587	+	lcm_circ_0000525	6130	263	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	ENSLACT00000016720	CKM	Nitsche2013
JH127704	447176	447429	+	lcm_circ_0000495	253	253	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000010752	CCT3	Nitsche2013
JH127111	1140633	1142674	-	lcm_circ_0000569	2041	206	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017119	ENO3	Nitsche2013
JH126577	803189	803312	-	lcm_circ_0000291	123	123	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000026654	TPM1	Nitsche2013
JH127298	607902	608519	*	lcm_circ_0000064	617	617	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126727	103713	103886	*	lcm_circ_0000697	173	173	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127208	1077006	1077365	*	lcm_circ_0000036	359	359	muscle	None	INTERGENIC	None	None	Nitsche2013
JH130031	122876	123019	+	lcm_circ_0000105	143	143	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000001260	STIM2	Nitsche2013
JH128201	385111	385761	*	lcm_circ_0000645	650	650	muscle	None	INTERGENIC	None	None	Nitsche2013
AFYH01285910	357	550	*	lcm_circ_0000674	193	193	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126644	1038488	1038694	*	lcm_circ_0000348	206	206	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126979	684764	684944	+	lcm_circ_0000361	180	180	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON	ENSLACT00000012672	MYOM1	Nitsche2013
JH130040	67232	72616	+	lcm_circ_0000104	5384	157	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000002753	HERPUD2	Nitsche2013
JH127485	259804	263047	+	lcm_circ_0000106	3243	218	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007593	CALM2	Nitsche2013
JH126583	4214781	4215496	+	lcm_circ_0000324	715	145	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021445	DUSP26	Nitsche2013
JH126583	1192341	1192816	-	lcm_circ_0000319	475	475	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000017362	PGAM2	Nitsche2013
JH126583	4215706	4215936	+	lcm_circ_0000320	230	230	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000021445	DUSP26	Nitsche2013
JH128683	245648	245822	*	lcm_circ_0000744	174	174	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127177	659170	668280	-	lcm_circ_0000008	9110	806	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000013553	RBM25	Nitsche2013
JH126993	465132	466334	+	lcm_circ_0000073	1202	110	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	ENSLACT00000011378	RPS5	Nitsche2013
JH126876	698749	713078	-	lcm_circ_0000016	14329	246	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000013935	TMOD4	Nitsche2013
JH126699	488922	489215	+	lcm_circ_0000399	293	293	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000011258	CTCF	Nitsche2013
JH128364	452407	453463	-	lcm_circ_0000239	1056	262	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010759	ENSLACG00000009407	Nitsche2013
JH126819	668919	669165	*	lcm_circ_0000193	246	246	muscle	None	INTERGENIC	None	None	Nitsche2013
JH128683	319250	319550	-	lcm_circ_0000743	300	181	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007913	ENSLACG00000006948	Nitsche2013
AFYH01277350	5162	5493	*	lcm_circ_0000594	331	331	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126593	2925943	2926190	*	lcm_circ_0000461	247	247	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127275	743484	743750	*	lcm_circ_0000192	266	266	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126593	2293406	2293634	*	lcm_circ_0000470	228	228	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127087	178993	179202	*	lcm_circ_0000163	209	209	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126679	233917	279977	-	lcm_circ_0000268	46060	178	muscle	None	ALT_DONOR, CDS, coding, OVCODE, OVEXON, UTR5	ENSLACT00000004620	LDB3	Nitsche2013
JH127645	197739	197977	-	lcm_circ_0000232	238	238	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000006836	TPI1	Nitsche2013
JH126587	2297156	2302221	+	lcm_circ_0000127	5065	344	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000020178	CACNA1S	Nitsche2013
JH126564	382158	382301	*	lcm_circ_0000643	143	143	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127471	347099	355589	-	lcm_circ_0000122	8490	290	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009181	CCDC91	Nitsche2013
JH127227	1059799	1059921	+	lcm_circ_0000664	122	122	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015902	JPH1	Nitsche2013
AFYH01285278	1423	1565	*	lcm_circ_0000063	142	142	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127134	123702	123891	-	lcm_circ_0000623	189	189	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000004982	SLC7A2	Nitsche2013
JH126644	1350711	1354040	+	lcm_circ_0000355	3329	343	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017917	MYBPC2	Nitsche2013
JH127617	479567	479717	-	lcm_circ_0000172	150	102	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000011644	C11orf89	Nitsche2013
